duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type,service,flag,attack_category
0,344,1781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,15,0.0,0.0,0.0,0.0,1.0,0.0,0.13,25,254,1.0,0.0,0.04,0.11,0.0,0.0,0.04,0.9,tcp,http,SF,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,7,1.0,1.0,0.0,0.0,0.03,0.07,0.0,255,18,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0.0,tcp,netbios_ssn,S0,DoS
1,2223,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,79,162,0.49,0.05,0.01,0.01,0.0,0.0,0.0,0.0,tcp,smtp,SF,Normal
0,54540,8314,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,14,1.0,0.0,0.07,0.0,0.0,0.0,0.07,0.07,tcp,http,SF,DoS
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,60,1.0,0.0,1.0,0.52,0.0,0.0,0.0,0.0,icmp,eco_i,SF,Probe
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,46,1.0,0.0,1.0,0.26,0.0,0.0,0.0,0.0,icmp,eco_i,SF,Probe
0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,227,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,212,0.83,0.01,0.01,0.0,0.0,0.0,0.0,0.0,udp,domain_u,SF,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,15,0.0,0.0,1.0,1.0,0.1,0.06,0.0,255,15,0.06,0.07,0.0,0.0,0.0,0.0,1.0,1.0,tcp,exec,RSTO,DoS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,10,1.0,1.0,0.0,0.0,0.07,0.05,0.0,255,10,0.04,0.04,0.0,0.0,1.0,1.0,0.0,0.0,tcp,login,S0,DoS
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,14,1.0,1.0,0.0,0.0,0.05,0.05,0.0,255,14,0.05,0.05,0.0,0.0,1.0,1.0,0.0,0.0,tcp,private,S0,DoS
